Zeit	Temperatur T1	Temperatur T2	Temperatur T3	Temperatur T4
626.00	-18.39	-0.60	-18.61	0.12
627.00	-18.39	-0.59	-18.59	0.12
628.00	-18.40	-0.59	-18.59	0.12
629.00	-18.39	-0.57	-18.61	0.12
630.00	-18.39	-0.59	-18.59	0.12
631.00	-18.39	-0.57	-18.60	0.12
632.00	-18.40	-0.57	-18.60	0.12
633.00	-18.40	-0.58	-18.59	0.11
634.00	-18.40	-0.57	-18.59	0.11
635.00	-18.40	-0.58	-18.59	0.11
636.00	-18.40	-0.58	-18.60	0.12
637.00	-18.40	-0.58	-18.59	0.12
638.00	-18.40	-0.58	-18.60	0.12
639.00	-18.40	-0.57	-18.60	0.12
640.00	-18.41	-0.57	-18.60	0.12
641.00	-18.41	-0.57	-18.59	0.11
642.00	-18.40	-0.56	-18.61	0.12
643.00	-18.41	-0.56	-18.60	0.12
644.00	-18.42	-0.55	-18.61	0.12
645.00	-18.41	-0.55	-18.59	0.10
646.00	-18.41	-0.55	-18.60	0.12
647.00	-18.42	-0.55	-18.60	0.13
648.00	-18.42	-0.54	-18.59	0.11
649.00	-18.41	-0.55	-18.59	0.10
650.00	-18.43	-0.54	-18.59	0.10
651.00	-18.42	-0.55	-18.60	0.12
652.00	-18.43	-0.55	-18.59	0.12
653.00	-18.42	-0.53	-18.59	0.11
654.00	-18.43	-0.53	-18.60	0.12
655.00	-18.43	-0.52	-18.59	0.11
656.00	-18.42	-0.54	-18.59	0.10
657.00	-18.42	-0.53	-18.59	0.11
658.00	-18.43	-0.53	-18.59	0.10
659.00	-18.43	-0.53	-18.60	0.11
660.00	-18.43	-0.54	-18.60	0.12
661.00	-18.43	-0.53	-18.60	0.11
662.00	-18.45	-0.52	-18.59	0.11
663.00	-18.44	-0.54	-18.59	0.11
664.00	-18.43	-0.52	-18.59	0.08
665.00	-18.44	-0.54	-18.60	0.08
666.00	-18.45	-0.52	-18.58	0.07
667.00	-18.44	-0.53	-18.59	0.02
668.00	-18.44	-0.54	-18.59	-0.05
669.00	-18.44	-0.53	-18.59	-0.05
670.00	-18.44	-0.53	-18.60	0.01
671.00	-18.45	-0.53	-18.59	0.03
672.00	-18.45	-0.53	-18.60	0.06
673.00	-18.45	-0.54	-18.60	0.08
674.00	-18.44	-0.54	-18.59	0.08
675.00	-18.45	-0.54	-18.60	0.10
676.00	-18.45	-0.53	-18.59	0.09
677.00	-18.46	-0.54	-18.59	0.11
678.00	-18.45	-0.53	-18.58	0.10
679.00	-18.46	-0.53	-18.57	0.12
680.00	-18.46	-0.52	-18.58	0.12
681.00	-18.46	-0.54	-18.58	0.12
682.00	-18.46	-0.55	-18.57	0.11
683.00	-18.45	-0.57	-18.57	0.12
684.00	-18.45	-0.56	-18.57	0.09
685.00	-18.46	-0.58	-18.58	0.06
686.00	-18.46	-0.57	-18.56	0.06
687.00	-18.45	-0.56	-18.58	0.07
688.00	-18.46	-0.56	-18.57	0.09
689.00	-18.47	-0.55	-18.56	0.10
690.00	-18.47	-0.55	-18.55	0.10
691.00	-18.47	-0.55	-18.56	0.11
692.00	-18.47	-0.55	-18.55	0.11
693.00	-18.47	-0.54	-18.55	0.11
694.00	-18.47	-0.54	-18.56	0.12
695.00	-18.48	-0.55	-18.55	0.11
696.00	-18.47	-0.55	-18.55	0.11
697.00	-18.48	-0.54	-18.55	0.11
698.00	-18.47	-0.53	-18.55	0.12
699.00	-18.47	-0.53	-18.55	0.13
700.00	-18.47	-0.54	-18.54	0.12
701.00	-18.47	-0.54	-18.55	0.12
702.00	-18.48	-0.53	-18.55	0.11
703.00	-18.48	-0.54	-18.55	0.13
704.00	-18.48	-0.53	-18.54	0.11
705.00	-18.47	-0.53	-18.54	0.12
706.00	-18.49	-0.54	-18.53	0.11
707.00	-18.48	-0.52	-18.53	0.11
708.00	-18.48	-0.53	-18.53	0.13
709.00	-18.50	-0.52	-18.54	0.12
710.00	-18.49	-0.53	-18.54	0.12
711.00	-18.49	-0.52	-18.54	0.12
712.00	-18.50	-0.52	-18.54	0.12
713.00	-18.49	-0.53	-18.53	0.11
714.00	-18.51	-0.55	-18.53	0.12
715.00	-18.50	-0.56	-18.53	0.12
716.00	-18.50	-0.56	-18.53	0.13
717.00	-18.50	-0.55	-18.52	0.12
718.00	-18.50	-0.56	-18.53	0.12
719.00	-18.50	-0.55	-18.54	0.12
720.00	-18.51	-0.54	-18.52	0.11
721.00	-18.51	-0.53	-18.54	0.10
722.00	-18.51	-0.54	-18.53	0.12
723.00	-18.51	-0.54	-18.53	0.11
724.00	-18.51	-0.53	-18.52	0.11
725.00	-18.53	-0.53	-18.53	0.12
726.00	-18.51	-0.53	-18.52	0.11
727.00	-18.52	-0.52	-18.52	0.12
728.00	-18.51	-0.52	-18.52	0.11
729.00	-18.51	-0.51	-18.52	0.10
730.00	-18.52	-0.52	-18.52	0.11
731.00	-18.52	-0.52	-18.52	0.10
732.00	-18.52	-0.51	-18.51	0.10
733.00	-18.53	-0.52	-18.51	0.10
734.00	-18.52	-0.53	-18.52	0.08
735.00	-18.53	-0.52	-18.51	0.06
736.00	-18.53	-0.52	-18.51	0.04
737.00	-18.53	-0.52	-18.50	0.04
738.00	-18.53	-0.54	-18.51	0.05
739.00	-18.54	-0.52	-18.51	0.08
740.00	-18.53	-0.53	-18.51	0.10
741.00	-18.53	-0.52	-18.51	0.10
742.00	-18.53	-0.52	-18.51	0.11
743.00	-18.54	-0.52	-18.52	0.11
744.00	-18.55	-0.51	-18.52	0.11
745.00	-18.55	-0.53	-18.51	0.12
746.00	-18.54	-0.52	-18.49	0.12
747.00	-18.55	-0.52	-18.49	0.13
748.00	-18.55	-0.52	-18.49	0.11
749.00	-18.54	-0.52	-18.50	0.11
750.00	-18.54	-0.53	-18.51	0.12
751.00	-18.56	-0.51	-18.51	0.13
752.00	-18.55	-0.51	-18.49	0.11
753.00	-18.55	-0.52	-18.49	0.13
754.00	-18.56	-0.51	-18.50	0.12
755.00	-18.55	-0.51	-18.50	0.12
756.00	-18.55	-0.52	-18.49	0.12
757.00	-18.56	-0.52	-18.50	0.11
758.00	-18.56	-0.51	-18.49	0.12
759.00	-18.56	-0.52	-18.49	0.12
760.00	-18.57	-0.51	-18.50	0.11
761.00	-18.56	-0.53	-18.50	0.11
762.00	-18.57	-0.53	-18.49	0.12
763.00	-18.56	-0.52	-18.49	0.12
764.00	-18.57	-0.52	-18.49	0.12
765.00	-18.57	-0.52	-18.49	0.12
766.00	-18.57	-0.53	-18.48	0.12
767.00	-18.57	-0.52	-18.49	0.12
768.00	-18.57	-0.52	-18.48	0.11
769.00	-18.57	-0.52	-18.48	0.12
770.00	-18.58	-0.53	-18.49	0.12
771.00	-18.58	-0.51	-18.48	0.12
772.00	-18.58	-0.52	-18.48	0.12
773.00	-18.58	-0.52	-18.48	0.11
774.00	-18.57	-0.53	-18.48	0.12
775.00	-18.58	-0.51	-18.48	0.11
776.00	-18.59	-0.52	-18.48	0.11
777.00	-18.58	-0.51	-18.47	0.11
778.00	-18.57	-0.51	-18.47	0.13
779.00	-18.60	-0.52	-18.47	0.12
780.00	-18.61	-0.52	-18.46	0.11
781.00	-18.59	-0.50	-18.46	0.13
782.00	-18.59	-0.51	-18.47	0.11
783.00	-18.59	-0.52	-18.46	0.12
784.00	-18.59	-0.52	-18.46	0.12
785.00	-18.60	-0.52	-18.48	0.11
786.00	-18.60	-0.52	-18.46	0.12
